Type,Runtime,Location,Date
API,  0.137772,MA,2020-01-16
Container,  0.007032,MA,2020-01-16
API,  0.165064,MA,2020-01-16
Container,  0.007969,MA,2020-01-16
API,  0.139154,MA,2020-01-16
Container,  0.007006,MA,2020-01-16
API,  0.137409,MA,2020-01-16
Container,  0.008106,MA,2020-01-16
API,  0.136547,MA,2020-01-16
Container,  0.007939,MA,2020-01-16
API,  0.143286,MA,2020-01-16
Container,  0.006945,MA,2020-01-16
API,  0.138314,MA,2020-01-16
Container,  0.008001,MA,2020-01-16
API,  0.137620,MA,2020-01-16
Container,  0.007998,MA,2020-01-16
API,  0.141320,MA,2020-01-16
Container,  0.007579,MA,2020-01-16
API,  0.147271,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.139656,MA,2020-01-16
Container,  0.007005,MA,2020-01-16
API,  0.159528,MA,2020-01-16
Container,  0.006996,MA,2020-01-16
API,  0.168839,MA,2020-01-16
Container,  0.008001,MA,2020-01-16
API,  0.139201,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.136369,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.133043,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.137338,MA,2020-01-16
Container,  0.007016,MA,2020-01-16
API,  0.135525,MA,2020-01-16
Container,  0.007983,MA,2020-01-16
API,  0.161044,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.138710,MA,2020-01-16
Container,  0.007999,MA,2020-01-16
API,  0.138149,MA,2020-01-16
Container,  0.007002,MA,2020-01-16
API,  0.138993,MA,2020-01-16
Container,  0.008001,MA,2020-01-16
API,  0.154634,MA,2020-01-16
Container,  0.008109,MA,2020-01-16
API,  0.162409,MA,2020-01-16
Container,  0.006895,MA,2020-01-16
API,  0.139452,MA,2020-01-16
Container,  0.007990,MA,2020-01-16
API,  0.137909,MA,2020-01-16
Container,  0.008482,MA,2020-01-16
API,  0.136322,MA,2020-01-16
Container,  0.006616,MA,2020-01-16
API,  0.138366,MA,2020-01-16
Container,  0.006904,MA,2020-01-16
API,  0.139320,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.136628,MA,2020-01-16
Container,  0.006027,MA,2020-01-16
API,  0.145830,MA,2020-01-16
Container,  0.006976,MA,2020-01-16
API,  0.136593,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.138824,MA,2020-01-16
Container,  0.010999,MA,2020-01-16
API,  0.137754,MA,2020-01-16
Container,  0.007622,MA,2020-01-16
API,  0.134860,MA,2020-01-16
Container,  0.006903,MA,2020-01-16
API,  0.138139,MA,2020-01-16
Container,  0.006993,MA,2020-01-16
API,  0.136837,MA,2020-01-16
Container,  0.007998,MA,2020-01-16
API,  0.136444,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.145182,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.142676,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.148448,MA,2020-01-16
Container,  0.006004,MA,2020-01-16
API,  0.142577,MA,2020-01-16
Container,  0.006996,MA,2020-01-16
API,  0.140325,MA,2020-01-16
Container,  0.007999,MA,2020-01-16
API,  0.148409,MA,2020-01-16
Container,  0.007002,MA,2020-01-16
API,  0.182663,MA,2020-01-16
Container,  0.007997,MA,2020-01-16
API,  0.142582,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.141168,MA,2020-01-16
Container,  0.007028,MA,2020-01-16
API,  0.189834,MA,2020-01-16
Container,  0.007972,MA,2020-01-16
API,  0.143447,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.127142,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.135721,MA,2020-01-16
Container,  0.008055,MA,2020-01-16
API,  0.137872,MA,2020-01-16
Container,  0.007734,MA,2020-01-16
API,  0.137619,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.138930,MA,2020-01-16
Container,  0.006996,MA,2020-01-16
API,  0.141495,MA,2020-01-16
Container,  0.006689,MA,2020-01-16
API,  0.137434,MA,2020-01-16
Container,  0.007008,MA,2020-01-16
API,  0.192878,MA,2020-01-16
Container,  0.007049,MA,2020-01-16
API,  0.136658,MA,2020-01-16
Container,  0.007950,MA,2020-01-16
API,  0.136738,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.137221,MA,2020-01-16
Container,  0.007998,MA,2020-01-16
API,  0.137656,MA,2020-01-16
Container,  0.007590,MA,2020-01-16
API,  0.138278,MA,2020-01-16
Container,  0.007410,MA,2020-01-16
API,  0.136536,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.118067,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.121265,MA,2020-01-16
Container,  0.008026,MA,2020-01-16
API,  0.133969,MA,2020-01-16
