Type,Runtime,Location,Date
API,  0.261936,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.238943,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.254267,MA,2020-01-16
Container,  0.004003,MA,2020-01-16
API,  0.304176,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.206668,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.218313,MA,2020-01-16
Container,  0.004004,MA,2020-01-16
API,  0.229439,MA,2020-01-16
Container,  0.003995,MA,2020-01-16
API,  0.244618,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.240163,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.236072,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.213388,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.236717,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.232377,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.225480,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.215348,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.236925,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.235858,MA,2020-01-16
Container,  0.004006,MA,2020-01-16
API,  0.266003,MA,2020-01-16
Container,  0.003995,MA,2020-01-16
API,  0.243579,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.249058,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.214699,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.254530,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.243484,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.232331,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.251261,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.256506,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.246121,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.233016,MA,2020-01-16
Container,  0.003995,MA,2020-01-16
API,  0.229672,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.255908,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.266623,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.223720,MA,2020-01-16
Container,  0.004030,MA,2020-01-16
API,  0.249786,MA,2020-01-16
Container,  0.002971,MA,2020-01-16
API,  0.222887,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.281076,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.212270,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.240200,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.229455,MA,2020-01-16
Container,  0.004023,MA,2020-01-16
API,  0.233295,MA,2020-01-16
Container,  0.002980,MA,2020-01-16
API,  0.245417,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.249751,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.307276,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.219137,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.208113,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.261177,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.239695,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.329870,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.206820,MA,2020-01-16
Container,  0.003005,MA,2020-01-16
API,  0.224087,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.226455,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.219371,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.228439,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.248977,MA,2020-01-16
Container,  0.003995,MA,2020-01-16
API,  0.208510,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.220682,MA,2020-01-16
Container,  0.002923,MA,2020-01-16
API,  0.246046,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.195724,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.209357,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.224518,MA,2020-01-16
Container,  0.007003,MA,2020-01-16
API,  0.215035,MA,2020-01-16
Container,  0.003995,MA,2020-01-16
API,  0.257693,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.220618,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.229910,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.219667,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.211720,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.294806,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.261102,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.219667,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.212980,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.191056,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.239291,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.204891,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.205590,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.214149,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.213503,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.208945,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.219664,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.216025,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.230926,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.232311,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.211346,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.206912,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.220613,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.235939,MA,2020-01-16
Container,  0.004004,MA,2020-01-16
API,  0.212828,MA,2020-01-16
Container,  0.002997,MA,2020-01-16
API,  0.214793,MA,2020-01-16
Container,  0.005000,MA,2020-01-16
API,  0.202285,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.210636,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.228189,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.224359,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.228904,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.206069,MA,2020-01-16
